review_id,text,sentiment
0,Atención al cliente pésima. Producto de mala calidad. #@#&*,Negativo
1,El producto es duradero y funciona excelentemente.,Positivo
2,  Atención al cliente pésima. Producto de mala calidad.  ,Negativo
3,La calidad es excelente y el precio es justo. Muy satisfecho.,Positivo
4,Buen producto aunque la documentación es confusa.,Negativo
5,Pésima calidad. Muy caro para lo que ofrece.,Negativo
6,Producto caro y muy lento en funcionar. Gran decepción.,Negativo
7,Pésima calidad. Muy caro para lo que ofrece. #@#&*,Negativo
8,Excelente producto aunque la atención fue lenta.,Negativo
9,Atención al cliente impecable. Producto de gran calidad.,Positivo
10,El tamaño no es lo que esperaba y falla después de poco uso.,Negativo
11,Producto caro y muy lento en funcionar. Gran decepción.,Negativo
12,Excelente producto aunque la atención fue lenta.,Positivo
13,El producto llegó rápido y en excelente estado. Muy recomendado.,Positivo
14,Excelente producto aunque la atención fue lenta.,Positivo
15,Producto defectuoso. Una decepción total.,Negativo
16,El producto es excelente pero el envío llegó tarde.,Negativo
17,Rápido en llegar pero el empaque estaba sucio.,Positivo
18,"Excelente calidad, superó mis expectativas. Compraría de nuevo.",Positivo
19,Buen producto aunque la documentación es confusa.,Positivo
20,Producto sucio y dañado. No recomendado.,Negativo
21,Rápido pero de calidad mediocre.,Positivo
22,Excelente compra. El color y tamaño son perfectos.,Positivo
23,Atención al cliente pésima. Producto de mala calidad.,Negativo
24,Atención al cliente pésima. Producto de mala calidad.,Negativo
25,Empaque sucio y producto defectuoso. Muy insatisfecho.,Negativo
26,,Positivo
27,Buena calidad pero tiene algunas fallas menores.,Positivo
28,Producto eficaz y llegó bien empacado. Recomendado.,Positivo
29,,Positivo
30,El envío llegó tarde y el producto estaba roto.,Negativo
31,Buena calidad pero tiene algunas fallas menores.,Positivo
32,Producto caro y muy lento en funcionar. Gran decepción.,Negativo
33,"Mala calidad, roto a los pocos días.",Negativo
34,"Excelente calidad, superó mis expectativas. Compraría de nuevo.",Positivo
35,"Excelente calidad, superó mis expectativas. Compraría de nuevo.",Positivo
36,Producto eficaz y llegó bien empacado. Recomendado.,Positivo
37,Rápido pero de calidad mediocre.,Positivo
38,Buena calidad pero tiene algunas fallas menores.,Negativo
39,El color es excelente pero es frágil y se rompió.,Positivo
40,La calidad es excelente y el precio es justo. Muy satisfecho.,Positivo
41,Buena calidad pero tiene algunas fallas menores.,neg
42,Producto eficaz y llegó bien empacado. Recomendado.,Positivo
43,Pésima calidad. Muy caro para lo que ofrece.,Negativo
44,Producto duradero pero el precio es elevado.,Negativo
45,Excelente compra. El color y tamaño son perfectos.,Positivo
46,Producto sucio y dañado. No recomendado.,Negativo
47,Producto sucio y dañado. No recomendado.,Negativo
48,Buena calidad pero demasiado caro para el mercado.,Positivo
49,"Excelente calidad, superó mis expectativas. Compraría de nuevo.",Positivo
50,,Negativo
51,Buen producto aunque la documentación es confusa.,Negativo
52,Producto eficaz y llegó bien empacado. Recomendado.,Positivo
53,La calidad es excelente y el precio es justo. Muy satisfecho.,Positivo
54,El producto es duradero y funciona excelentemente.,Positivo
55,Muy buen servicio de atención al cliente. Producto duradero.,Positivo
56,Atención al cliente pésima. Producto de mala calidad.,Negativo
57,Excelente compra. El color y tamaño son perfectos.,Positivo
58,"Excelente calidad, superó mis expectativas. Compraría de nuevo.",Positivo
59,Pésima calidad. Muy caro para lo que ofrece.,Negativo
60,Empaque sucio y producto defectuoso. Muy insatisfecho.,Negativo
61,Atención al cliente impecable. Producto de gran calidad.,Positivo
62,Pésima calidad. Muy caro para lo que ofrece.,Negativo
63,La calidad es excelente y el precio es justo. Muy satisfecho.,Positivo
64,Excelente compra. El color y tamaño son perfectos.,Positivo
65,Muy buen servicio de atención al cliente. Producto duradero.,Positivo
66,El envío fue rápido y el producto es de muy buena calidad.,Positivo
67,Llegó rápido pero el tamaño no es el esperado.,Negativo
68,El producto es excelente pero el envío llegó tarde.,Positivo
69,Atención al cliente pésima. Producto de mala calidad.,Negativo
70,Excelente compra. El color y tamaño son perfectos.,Positivo
71,Producto sucio y dañado. No recomendado.,Negativo
72,Llegó rápido pero el tamaño no es el esperado.,Negativo
73,El tamaño no es lo que esperaba y falla después de poco uso.,Negativo
74,Pésima calidad. Muy caro para lo que ofrece.,Negativo
75,  Producto eficaz y llegó bien empacado. Recomendado.  ,Positivo
76,Atención al cliente pésima. Producto de mala calidad.,Negativo
77,El envío fue rápido y el producto es de muy buena calidad.,Positivo
78,Buena calidad pero tiene algunas fallas menores.,Positivo
79,,Positivo
80,"Excelente calidad, superó mis expectativas. Compraría de nuevo.",Positivo
81,Excelente compra. El color y tamaño son perfectos.,Positivo
82,Rápido en llegar pero el empaque estaba sucio.,Positivo
83,Producto sucio y dañado. No recomendado.,Negativo
84,"Excelente calidad, superó mis expectativas. Compraría de nuevo.",Positivo
85,Rápido pero de calidad mediocre.,Positivo
86,Buena calidad pero demasiado caro para el mercado.,Negativo
87,Producto defectuoso. Una decepción total.,Negativo
88,El producto llegó rápido y en excelente estado. Muy recomendado.,Positivo
89,Empaque sucio y producto defectuoso. Muy insatisfecho.,Negativo
90,,Positivo
91,Excelente producto aunque la atención fue lenta.,positivo
92,Producto eficaz y llegó bien empacado. Recomendado.,Positivo
93,"Rápido, bien empacado y de buena calidad. Muy contento.",Positivo
94,Muy buen servicio de atención al cliente. Producto duradero.,Positivo
95,  Producto caro y muy lento en funcionar. Gran decepción.  ,Negativo
96,Atención al cliente impecable. Producto de gran calidad.,Positivo
97,"Rápido, bien empacado y de buena calidad. Muy contento.",Positivo
98,El producto llegó rápido y en excelente estado. Muy recomendado.,Positivo
99,Atención al cliente pésima. Producto de mala calidad.,Negativo
100,"  Rápido, bien empacado y de buena calidad. Muy contento.  ",Positivo
101,Buena calidad pero demasiado caro para el mercado.,Negativo
102,Producto caro y muy lento en funcionar. Gran decepción.,Negativo
103,Buena calidad pero tiene algunas fallas menores.,Negativo
104,Buen producto aunque la documentación es confusa.,Positivo
105,Buen producto aunque la documentación es confusa.,Negativo
106,El producto es excelente pero el envío llegó tarde.,Negativo
107,Producto defectuoso. Una decepción total.,Negativo
108,El producto llegó rápido y en excelente estado. Muy recomendado.,Positivo
109,Producto defectuoso. Una decepción total. #@#&*,Negativo
110,El producto falla constantemente. No lo recomiendo.,Negativo
111,Producto defectuoso. Una decepción total.,Negativo
112,El producto llegó rápido y en excelente estado. Muy recomendado.,Positivo
113,Buena calidad pero tiene algunas fallas menores.,Positivo
114,,Positivo
115,Empaque sucio y producto defectuoso. Muy insatisfecho.,Negativo
116,El producto es duradero y funciona excelentemente.,Positivo
117,Producto sucio y dañado. No recomendado.,
118,Producto eficaz y llegó bien empacado. Recomendado.,Positivo
119,Atención al cliente pésima. Producto de mala calidad.,Negativo
120,Pésima calidad. Muy caro para lo que ofrece.,Negativo
121,  Producto sucio y dañado. No recomendado.  ,Negativo
122,Rápido pero de calidad mediocre.,Negativo
123,"Excelente calidad, superó mis expectativas. Compraría de nuevo.",Positivo
124,Producto duradero pero el precio es elevado.,Negativo
125,Producto defectuoso. Una decepción total.,Negativo
126,,Positivo
127,Empaque sucio y producto defectuoso. Muy insatisfecho. #@#&*,Negativo
128,"Rápido, bien empacado y de buena calidad. Muy contento.",Positivo
129,Excelente compra. El color y tamaño son perfectos.,Positivo
130,Atención al cliente pésima. Producto de mala calidad.,Negativo
131,Pésima calidad. Muy caro para lo que ofrece.,Negativo
132,El producto falla constantemente. No lo recomiendo.,Negativo
133,El envío fue rápido y el producto es de muy buena calidad.,Positivo
134,La calidad es excelente y el precio es justo. Muy satisfecho.,Positivo
135,Excelente compra. El color y tamaño son perfectos.,Positivo
136,Atención al cliente impecable. Producto de gran calidad.,Positivo
137,,Positivo
138,Llegó rápido pero el tamaño no es el esperado.,Positivo
139,El envío llegó tarde y el producto estaba roto.,Negativo
140,Rápido en llegar pero el empaque estaba sucio.,Negativo
141,El producto falla constantemente. No lo recomiendo.,Negativo
142,El producto llegó rápido y en excelente estado. Muy recomendado.,Positivo
143,Producto defectuoso. Una decepción total.,Negativo
144,El envío llegó tarde y el producto estaba roto.,Negativo
145,El envío fue rápido y el producto es de muy buena calidad.,Positivo
146,Atención al cliente pésima. Producto de mala calidad.,Negativo
147,El tamaño no es lo que esperaba y falla después de poco uso.,Negativo
148,Rápido pero de calidad mediocre.,Positivo
149,Buena calidad pero tiene algunas fallas menores.,Negativo
150,  Excelente compra. El color y tamaño son perfectos.  ,Positivo
151,Producto eficaz y llegó bien empacado. Recomendado.,positivo
152,El tamaño no es lo que esperaba y falla después de poco uso.,Negativo
153,El producto es duradero y funciona excelentemente.,Positivo
154,Buena calidad pero tiene algunas fallas menores.,Negativo
155,Excelente producto aunque la atención fue lenta.,POSITIVO
156,  El color es excelente pero es frágil y se rompió.  ,Positivo
157,El tamaño no es lo que esperaba y falla después de poco uso.,Negativo
158,La calidad es excelente y el precio es justo. Muy satisfecho.,Positivo
159,Llegó rápido pero el tamaño no es el esperado.,Negativo
160,Empaque sucio y producto defectuoso. Muy insatisfecho.,Negativo
161,Buena calidad pero tiene algunas fallas menores.,Negativo
162,El envío llegó tarde y el producto estaba roto.,Negativo
163,"  Excelente calidad, superó mis expectativas. Compraría de nuevo.  ",Positivo
164,Buen producto aunque la documentación es confusa.,Negativo
165,Producto defectuoso. Una decepción total.,Negativo
166,Producto eficaz y llegó bien empacado. Recomendado.,Positivo
167,Producto eficaz y llegó bien empacado. Recomendado.,Positivo
168,"Rápido, bien empacado y de buena calidad. Muy contento.",Positivo
169,Producto duradero pero el precio es elevado.,Positivo
170,La calidad es excelente y el precio es justo. Muy satisfecho.,Positivo
171,Producto sucio y dañado. No recomendado.,Negativo
172,El producto llegó rápido y en excelente estado. Muy recomendado.,Positivo
173,"Rápido, bien empacado y de buena calidad. Muy contento.",Positivo
174,Excelente producto aunque la atención fue lenta.,Positivo
175,El producto es excelente pero el envío llegó tarde.,Negativo
176,Atención al cliente impecable. Producto de gran calidad.,Positivo
177,"Rápido, bien empacado y de buena calidad. Muy contento.",Positivo
178,El producto llegó rápido y en excelente estado. Muy recomendado.,Positivo
179,Producto sucio y dañado. No recomendado.,Negativo
180,Empaque sucio y producto defectuoso. Muy insatisfecho.,Negativo
181,"Rápido, bien empacado y de buena calidad. Muy contento.",Positivo
182,El producto llegó rápido y en excelente estado. Muy recomendado. #@#&*,Positivo
183,Rápido en llegar pero el empaque estaba sucio.,Positivo
184,Pésima calidad. Muy caro para lo que ofrece.,Negativo
185,,Positivo
186,Producto caro y muy lento en funcionar. Gran decepción.,Negativo
187,Rápido en llegar pero el empaque estaba sucio.,Positivo
188,Rápido pero de calidad mediocre.,Negativo
189,Muy buen servicio de atención al cliente. Producto duradero.,Positivo
190,"Excelente calidad, superó mis expectativas. Compraría de nuevo.",Positivo
191,Producto eficaz y llegó bien empacado. Recomendado.,Positivo
192,"Rápido, bien empacado y de buena calidad. Muy contento.",Positivo
193,La calidad es excelente y el precio es justo. Muy satisfecho.,Positivo
194,,Negativo
195,"Mala calidad, roto a los pocos días.",Negativo
196,Excelente compra. El color y tamaño son perfectos.,Positivo
197,Atención al cliente pésima. Producto de mala calidad.,positivo
198,"Rápido, bien empacado y de buena calidad. Muy contento.",Positivo
199,Producto eficaz y llegó bien empacado. Recomendado.,Positivo
200,Producto duradero pero el precio es elevado.,Positivo
201,,Negativo
202,"Mala calidad, roto a los pocos días.",Negativo
203,Muy buen servicio de atención al cliente. Producto duradero.,Positivo
204,Atención al cliente impecable. Producto de gran calidad.,Positivo
205,El producto es duradero y funciona excelentemente.,Positivo
206,El producto falla constantemente. No lo recomiendo.,Negativo
207,Excelente compra. El color y tamaño son perfectos.,Positivo
208,Producto caro y muy lento en funcionar. Gran decepción.,Negativo
209,Atención al cliente impecable. Producto de gran calidad.,Positivo
210,Producto caro y muy lento en funcionar. Gran decepción.,Negativo
211,"Mala calidad, roto a los pocos días.",Negativo
212,"Rápido, bien empacado y de buena calidad. Muy contento.",Positivo
213,Excelente compra. El color y tamaño son perfectos.,Positivo
214,,Negativo
215,Pésima calidad. Muy caro para lo que ofrece.,Negativo
216,El tamaño no es lo que esperaba y falla después de poco uso.,Negativo
217,  El tamaño no es lo que esperaba y falla después de poco uso.  ,Negativo
218,Producto caro y muy lento en funcionar. Gran decepción.,Negativo
219,Producto eficaz y llegó bien empacado. Recomendado.,Positivo
220,Atención al cliente impecable. Producto de gran calidad.,Positivo
221,Rápido pero de calidad mediocre.,Negativo
222,El producto llegó rápido y en excelente estado. Muy recomendado.,Positivo
223,El producto es duradero y funciona excelentemente.,Positivo
224,Producto eficaz y llegó bien empacado. Recomendado.,Positivo
225,Buen producto aunque la documentación es confusa.,Positivo
226,  Excelente producto aunque la atención fue lenta.  ,Positivo
227,Empaque sucio y producto defectuoso. Muy insatisfecho.,positivo
228,,Positivo
229,Atención al cliente pésima. Producto de mala calidad.,Negativo
230,Buena calidad pero demasiado caro para el mercado.,Positivo
231,Rápido pero de calidad mediocre.,Positivo
232,Producto sucio y dañado. No recomendado.,Negativo
233,El envío llegó tarde y el producto estaba roto.,Negativo
234,,Positivo
235,El envío llegó tarde y el producto estaba roto.,Negativo
236,Buen producto aunque la documentación es confusa.,neg
237,Atención al cliente impecable. Producto de gran calidad.,Positivo
238,,Negativo
239,Atención al cliente impecable. Producto de gran calidad.,Positivo
240,El producto falla constantemente. No lo recomiendo.,Negativo
241,Producto eficaz y llegó bien empacado. Recomendado.,Positivo
242,El producto llegó rápido y en excelente estado. Muy recomendado.,Positivo
243,Producto defectuoso. Una decepción total.,Negativo
244,Buena calidad pero demasiado caro para el mercado.,Negativo
245,Rápido en llegar pero el empaque estaba sucio.,Negativo
246,El producto llegó rápido y en excelente estado. Muy recomendado.,Positivo
247,Empaque sucio y producto defectuoso. Muy insatisfecho.,Negativo
248,Buena calidad pero demasiado caro para el mercado.,Positivo
249,Empaque sucio y producto defectuoso. Muy insatisfecho.,Negativo
250,El envío fue rápido y el producto es de muy buena calidad.,Positivo
251,El producto llegó rápido y en excelente estado. Muy recomendado.,Positivo
252,Atención al cliente impecable. Producto de gran calidad.,Positivo
253,"Excelente calidad, superó mis expectativas. Compraría de nuevo.",Positivo
254,El envío llegó tarde y el producto estaba roto.,Negativo
255,El producto llegó rápido y en excelente estado. Muy recomendado.,Positivo
256,El producto es duradero y funciona excelentemente.,Positivo
257,Producto eficaz y llegó bien empacado. Recomendado.,Positivo
258,Llegó rápido pero el tamaño no es el esperado.,Positivo
259,"Rápido, bien empacado y de buena calidad. Muy contento. #@#&*",Positivo
260,Atención al cliente pésima. Producto de mala calidad.,Negativo
261,Excelente compra. El color y tamaño son perfectos.,Positivo
262,El producto es duradero y funciona excelentemente.,Positivo
263,Producto eficaz y llegó bien empacado. Recomendado.,Positivo
264,Empaque sucio y producto defectuoso. Muy insatisfecho.,Negativo
265,Producto defectuoso. Una decepción total.,Negativo
266,El envío fue rápido y el producto es de muy buena calidad.,Positivo
267,El envío fue rápido y el producto es de muy buena calidad.,Positivo
268,"Mala calidad, roto a los pocos días.",Negativo
269,El producto es duradero y funciona excelentemente.,Positivo
270,  Producto duradero pero el precio es elevado.  ,Negativo
271,La calidad es excelente y el precio es justo. Muy satisfecho.,Positivo
272,El envío fue rápido y el producto es de muy buena calidad.,Positivo
273,Buena calidad pero demasiado caro para el mercado.,Negativo
274,La calidad es excelente y el precio es justo. Muy satisfecho.,Positivo
275,Rápido pero de calidad mediocre.,Negativo
276,"Excelente calidad, superó mis expectativas. Compraría de nuevo.",Positivo
277,"Mala calidad, roto a los pocos días.",Negativo
278,Atención al cliente impecable. Producto de gran calidad.,Positivo
279,Producto eficaz y llegó bien empacado. Recomendado.,Positivo
280,Buena calidad pero demasiado caro para el mercado.,Negativo
281,El producto falla constantemente. No lo recomiendo.,Negativo
282,Atención al cliente pésima. Producto de mala calidad.,Negativo
283,El tamaño no es lo que esperaba y falla después de poco uso.,Negativo
284,"Rápido, bien empacado y de buena calidad. Muy contento.",Positivo
285,El producto falla constantemente. No lo recomiendo.,Negativo
286,El tamaño no es lo que esperaba y falla después de poco uso.,Negativo
287,"Rápido, bien empacado y de buena calidad. Muy contento.",Positivo
288,"Rápido, bien empacado y de buena calidad. Muy contento.",Positivo
289,Pésima calidad. Muy caro para lo que ofrece.,Negativo
290,El producto es excelente pero el envío llegó tarde.,Positivo
291,"Rápido, bien empacado y de buena calidad. Muy contento.",
292,La calidad es excelente y el precio es justo. Muy satisfecho.,Positivo
293,Buen producto aunque la documentación es confusa.,Positivo
294,Atención al cliente pésima. Producto de mala calidad.,Negativo
295,El envío fue rápido y el producto es de muy buena calidad.,Positivo
296,Producto sucio y dañado. No recomendado.,Negativo
297,El envío llegó tarde y el producto estaba roto.,Negativo
298,El envío fue rápido y el producto es de muy buena calidad.,Positivo
299,Rápido pero de calidad mediocre.,Negativo
300,Producto caro y muy lento en funcionar. Gran decepción.,Negativo
301,Atención al cliente pésima. Producto de mala calidad.,Negativo
302,"Rápido, bien empacado y de buena calidad. Muy contento.",Positivo
303,Producto duradero pero el precio es elevado.,Positivo
304,Muy buen servicio de atención al cliente. Producto duradero.,Positivo
305,,Positivo
306,  Atención al cliente pésima. Producto de mala calidad.  ,Negativo
307,Excelente producto aunque la atención fue lenta.,Negativo
308,El producto es excelente pero el envío llegó tarde.,Negativo
309,Empaque sucio y producto defectuoso. Muy insatisfecho.,Negativo
310,Llegó rápido pero el tamaño no es el esperado.,Negativo
311,El envío fue rápido y el producto es de muy buena calidad.,Positivo
312,Producto eficaz y llegó bien empacado. Recomendado.,Positivo
313,  Excelente producto aunque la atención fue lenta.  ,Positivo
314,El producto llegó rápido y en excelente estado. Muy recomendado.,Positivo
315,Producto defectuoso. Una decepción total.,POSITIVO
316,Producto sucio y dañado. No recomendado.,Negativo
